"","date","ko_diff","sub_diff"
"1928","10/21/2017",-1,-2
"1929","10/7/2017",2,1
"1930","10/7/2017",2,2
"1931","10/7/2017",1,2
"1933","10/7/2017",-1,0
"1935","10/7/2017",0,-1
"1936","10/7/2017",1,3
"1937","10/7/2017",-1,-5
"1938","9/22/2017",-1,2
"1939","9/22/2017",1,1
"1940","9/22/2017",-2,0
"1941","9/22/2017",-1,-1
"1942","9/22/2017",2,0
"1943","9/22/2017",0,-2
"1944","9/22/2017",0,2
"1946","9/22/2017",1,0
"1947","9/22/2017",-3,0
"1948","9/16/2017",2,3
"1949","9/16/2017",3,0
"1951","9/16/2017",1,-1
"1952","9/16/2017",-1,-1
"1953","9/16/2017",0,1
"1954","9/16/2017",0,2
"1955","9/16/2017",-2,0
"1956","9/16/2017",3,0
"1957","9/16/2017",-2,3
"1958","9/9/2017",4,1
"1959","9/9/2017",0,1
"1960","9/9/2017",0,-2
"1961","9/9/2017",2,0
"1962","9/9/2017",6,0
"1963","9/9/2017",-1,-2
"1964","9/9/2017",-1,0
"1966","9/9/2017",1,-1
"1967","9/9/2017",0,-2
"1968","9/9/2017",-2,-1
"1969","9/2/2017",-5,-5
"1970","9/2/2017",1,1
"1971","9/2/2017",1,1
"1972","9/2/2017",-1,0
"1974","9/2/2017",3,0
"1975","9/2/2017",0,1
"1976","9/2/2017",2,0
"1981","8/5/2017",0,-2
"1983","8/5/2017",-3,1
"1984","8/5/2017",-1,0
"1985","8/5/2017",-2,1
"1986","8/5/2017",2,0
"1987","8/5/2017",1,-2
"1988","8/5/2017",1,0
"1989","8/5/2017",0,2
"1990","8/5/2017",-1,1
"1992","8/5/2017",-1,0
"1993","7/29/2017",4,-9
"1994","7/29/2017",2,0
"1995","7/29/2017",-2,-5
"1996","7/29/2017",-4,0
"1997","7/29/2017",1,2
"1998","7/29/2017",-1,-1
"1999","7/29/2017",2,0
"2000","7/29/2017",-2,0
"2004","7/22/2017",2,0
"2005","7/22/2017",2,-2
"2006","7/22/2017",-2,0
"2007","7/22/2017",-3,0
"2009","7/22/2017",-1,-1
"2010","7/22/2017",2,2
"2011","7/22/2017",1,0
"2013","7/22/2017",1,0
"2014","7/22/2017",-1,0
"2015","7/22/2017",0,-3
"2016","7/22/2017",-1,2
"2017","7/16/2017",3,-6
"2018","7/16/2017",-1,2
"2019","7/16/2017",0,1
"2020","7/16/2017",1,0
"2021","7/16/2017",1,-1
"2023","7/16/2017",0,1
"2024","7/16/2017",0,-1
"2028","7/16/2017",1,0
"2029","7/8/2017",-1,0
"2030","7/8/2017",1,-2
"2031","7/8/2017",-1,0
"2032","7/8/2017",-1,-3
"2033","7/8/2017",2,0
"2034","7/8/2017",-6,1
"2035","7/8/2017",1,0
"2036","7/8/2017",5,-2
"2037","7/8/2017",-1,0
"2040","7/7/2017",-4,0
"2042","7/7/2017",1,0
"2043","7/7/2017",-1,0
"2044","7/7/2017",-1,0
"2046","7/7/2017",1,2
"2047","7/7/2017",-1,-2
"2049","7/7/2017",-1,0
"2050","6/25/2017",1,-2
"2051","6/25/2017",1,0
"2052","6/25/2017",0,2
"2053","6/25/2017",2,1
"2054","6/25/2017",-4,-2
"2055","6/25/2017",-1,3
"2056","6/25/2017",-3,1
"2059","6/25/2017",-1,1
"2062","6/17/2017",-7,-2
"2063","6/17/2017",-2,1
"2064","6/17/2017",4,2
"2065","6/17/2017",-1,1
"2066","6/17/2017",1,0
"2067","6/17/2017",0,2
"2068","6/17/2017",-1,2
"2069","6/17/2017",0,1
"2072","6/10/2017",-2,0
"2073","6/10/2017",3,0
"2074","6/10/2017",-3,1
"2075","6/10/2017",-1,-1
"2076","6/10/2017",1,1
"2077","6/10/2017",1,0
"2078","6/10/2017",-1,0
"2079","6/10/2017",-1,0
"2080","6/10/2017",1,3
"2081","6/10/2017",0,-1
"2083","6/3/2017",4,2
"2085","6/3/2017",6,-1
"2087","6/3/2017",-2,-2
"2088","6/3/2017",1,1
"2089","6/3/2017",-2,0
"2090","6/3/2017",-2,-2
"2093","5/28/2017",0,-1
"2094","5/28/2017",-1,-3
"2095","5/28/2017",-2,-2
"2096","5/28/2017",1,0
"2097","5/28/2017",1,0
"2098","5/28/2017",-1,0
"2099","5/28/2017",1,0
"2100","5/28/2017",-2,-1
"2101","5/28/2017",0,-2
"2102","5/28/2017",0,-1
"2103","5/28/2017",1,0
"2105","5/13/2017",-1,0
"2106","5/13/2017",1,-2
"2107","5/13/2017",-2,8
"2108","5/13/2017",2,2
"2109","5/13/2017",-1,0
"2110","5/13/2017",-1,-3
"2112","5/13/2017",-2,3
"2113","5/13/2017",1,1
"2114","5/13/2017",0,-2
"2115","5/13/2017",-1,1
"2116","4/22/2017",4,0
"2117","4/22/2017",-2,0
"2118","4/22/2017",1,0
"2119","4/22/2017",1,0
"2120","4/22/2017",-3,-7
"2121","4/22/2017",-4,-1
"2122","4/22/2017",-2,4
"2123","4/22/2017",-2,1
"2124","4/22/2017",0,1
"2126","4/22/2017",0,1
"2127","4/22/2017",-1,0
"2129","4/15/2017",2,1
"2131","4/15/2017",2,-4
"2132","4/15/2017",-6,1
"2133","4/15/2017",-8,0
"2134","4/15/2017",0,-1
"2135","4/15/2017",0,-1
"2136","4/15/2017",-2,-1
"2137","4/15/2017",1,2
"2138","4/15/2017",-1,0
"2139","4/15/2017",1,0
"2140","4/15/2017",1,2
"2141","4/15/2017",-1,0
"2142","4/8/2017",-10,2
"2143","4/8/2017",0,-1
"2144","4/8/2017",0,1
"2145","4/8/2017",4,1
"2146","4/8/2017",0,8
"2147","4/8/2017",1,1
"2148","4/8/2017",-1,0
"2149","4/8/2017",0,-1
"2150","4/8/2017",1,0
"2155","3/18/2017",2,0
"2156","3/18/2017",-3,5
"2157","3/18/2017",-1,0
"2158","3/18/2017",-1,0
"2161","3/18/2017",-1,0
"2162","3/18/2017",-1,-1
"2163","3/18/2017",1,-1
"2164","3/18/2017",-2,2
"2166","3/11/2017",2,0
"2167","3/11/2017",4,-3
"2168","3/11/2017",0,1
"2169","3/11/2017",-2,0
"2170","3/11/2017",-2,0
"2171","3/11/2017",1,2
"2172","3/11/2017",0,-1
"2173","3/11/2017",-1,-1
"2174","3/11/2017",-2,-1
"2175","3/11/2017",-1,0
"2177","3/4/2017",1,0
"2178","3/4/2017",-5,1
"2180","3/4/2017",-2,0
"2181","3/4/2017",1,-2
"2182","3/4/2017",1,-1
"2183","3/4/2017",2,0
"2187","2/19/2017",0,-1
"2188","2/19/2017",3,0
"2189","2/19/2017",-3,0
"2190","2/19/2017",2,-2
"2191","2/19/2017",1,1
"2192","2/19/2017",1,1
"2193","2/19/2017",2,0
"2194","2/19/2017",0,-1
"2196","2/19/2017",3,0
"2197","2/19/2017",0,1
"2198","2/11/2017",1,0
"2199","2/11/2017",7,2
"2200","2/11/2017",-4,3
"2201","2/11/2017",3,3
"2202","2/11/2017",2,-3
"2203","2/11/2017",0,-1
"2205","2/11/2017",-2,0
"2207","2/11/2017",-1,-1
"2209","2/4/2017",0,2
"2210","2/4/2017",-3,1
"2211","2/4/2017",-4,-1
"2212","2/4/2017",-2,0
"2213","2/4/2017",1,2
"2214","2/4/2017",1,3
"2216","2/4/2017",0,-1
"2218","1/28/2017",-2,0
"2219","1/28/2017",-6,-4
"2220","1/28/2017",-6,-1
"2221","1/28/2017",0,-2
"2222","1/28/2017",-2,-2
"2223","1/28/2017",0,-1
"2224","1/28/2017",2,0
"2225","1/28/2017",-1,-1
"2226","1/28/2017",0,1
"2227","1/28/2017",2,1
"2230","1/15/2017",-6,-4
"2231","1/15/2017",5,7
"2232","1/15/2017",2,1
"2233","1/15/2017",-1,-3
"2236","1/15/2017",1,1
"2237","1/15/2017",-1,2
"2239","1/15/2017",1,0
"2242","12/30/2016",0,-1
"2243","12/30/2016",3,0
"2245","12/30/2016",4,1
"2246","12/30/2016",-2,1
"2247","12/30/2016",-1,1
"2248","12/30/2016",0,1
"2249","12/30/2016",-4,-2
"2250","12/30/2016",-2,0
"2251","12/17/2016",-2,0
"2252","12/17/2016",-1,1
"2253","12/17/2016",-1,5
"2254","12/17/2016",1,0
"2255","12/17/2016",-1,-1
"2256","12/17/2016",-1,-7
"2257","12/17/2016",1,1
"2258","12/17/2016",-1,-1
"2259","12/17/2016",0,-1
"2260","12/17/2016",1,0
"2261","12/17/2016",2,0
"2262","12/17/2016",-2,0
"2264","12/10/2016",3,-1
"2265","12/10/2016",-2,3
"2266","12/10/2016",1,0
"2267","12/10/2016",0,2
"2268","12/10/2016",-2,0
"2269","12/10/2016",-2,-1
"2270","12/10/2016",-1,2
"2272","12/10/2016",0,-3
"2273","12/10/2016",-3,0
"2275","12/10/2016",2,0
"2276","12/9/2016",6,0
"2277","12/9/2016",1,0
"2278","12/9/2016",-1,0
"2279","12/9/2016",3,0
"2281","12/9/2016",0,1
"2288","12/3/2016",2,3
"2289","12/3/2016",3,1
"2290","12/3/2016",-5,0
"2291","12/3/2016",1,0
"2292","12/3/2016",1,-1
"2293","12/3/2016",-1,1
"2294","12/3/2016",-1,0
"2295","12/3/2016",2,0
"2297","12/3/2016",0,-1
"2300","11/26/2016",-1,-1
"2301","11/26/2016",-1,-3
"2302","11/26/2016",-1,-2
"2306","11/26/2016",-1,0
"2307","11/26/2016",0,-1
"2309","11/26/2016",0,1
"2310","11/26/2016",-2,-1
"2311","11/26/2016",-1,1
"2313","11/19/2016",1,1
"2314","11/19/2016",3,0
"2315","11/19/2016",-1,-1
"2316","11/19/2016",-1,-5
"2317","11/19/2016",0,-2
"2318","11/19/2016",1,2
"2319","11/19/2016",0,1
"2320","11/19/2016",-2,-1
"2321","11/19/2016",1,-3
"2322","11/19/2016",0,1
"2323","11/19/2016",0,1
"2324","11/19/2016",-1,1
"2325","11/19/2016",-3,0
"2326","11/19/2016",-1,0
"2327","11/19/2016",-2,0
"2328","11/19/2016",-1,-2
"2329","11/19/2016",1,0
"2330","11/19/2016",-1,1
"2333","11/19/2016",0,1
"2334","11/19/2016",0,1
"2337","11/12/2016",5,0
"2338","11/12/2016",2,0
"2339","11/12/2016",1,-2
"2340","11/12/2016",0,1
"2341","11/12/2016",-2,2
"2342","11/12/2016",-2,1
"2343","11/12/2016",4,-1
"2344","11/12/2016",0,2
"2345","11/12/2016",-5,5
"2346","11/12/2016",1,0
"2347","11/5/2016",-1,3
"2348","11/5/2016",5,0
"2349","11/5/2016",2,-6
"2351","11/5/2016",0,3
"2353","11/5/2016",1,-1
"2356","11/5/2016",0,-1
"2357","11/5/2016",3,1
"2358","11/5/2016",2,0
"2360","10/8/2016",6,0
"2361","10/8/2016",-10,-1
"2362","10/8/2016",-1,-1
"2363","10/8/2016",3,4
"2364","10/8/2016",1,-1
"2365","10/8/2016",1,-1
"2366","10/8/2016",0,1
"2367","10/8/2016",-2,0
"2369","10/8/2016",1,-1
"2370","10/8/2016",-1,1
"2371","10/1/2016",0,1
"2372","10/1/2016",1,1
"2373","10/1/2016",-1,-1
"2374","10/1/2016",-2,-1
"2375","10/1/2016",1,0
"2376","10/1/2016",2,0
"2377","10/1/2016",-1,0
"2378","10/1/2016",1,-2
"2379","10/1/2016",4,1
"2380","10/1/2016",-1,0
"2383","9/24/2016",1,0
"2384","9/24/2016",2,3
"2385","9/24/2016",4,0
"2386","9/24/2016",1,1
"2387","9/24/2016",-4,0
"2388","9/24/2016",0,2
"2389","9/24/2016",0,-3
"2390","9/24/2016",0,3
"2391","9/24/2016",-2,1
"2392","9/24/2016",2,4
"2393","9/24/2016",-1,0
"2394","9/24/2016",0,1
"2395","9/24/2016",0,-1
"2396","9/17/2016",-2,-3
"2397","9/17/2016",-1,1
"2398","9/17/2016",2,1
"2399","9/17/2016",0,-1
"2400","9/17/2016",0,-1
"2401","9/17/2016",0,2
"2402","9/17/2016",-3,1
"2403","9/17/2016",-1,0
"2404","9/17/2016",0,1
"2405","9/17/2016",0,1
"2407","9/10/2016",2,0
"2408","9/10/2016",-3,1
"2409","9/10/2016",0,1
"2410","9/10/2016",1,-6
"2411","9/10/2016",0,1
"2413","9/10/2016",-1,-1
"2414","9/10/2016",1,1
"2415","9/10/2016",0,1
"2416","9/10/2016",0,2
"2417","9/3/2016",-5,-1
"2418","9/3/2016",3,2
"2420","9/3/2016",-1,0
"2422","9/3/2016",0,1
"2424","9/3/2016",1,-2
"2425","9/3/2016",-2,0
"2426","9/3/2016",2,-1
"2427","8/27/2016",-4,8
"2428","8/27/2016",2,-6
"2429","8/27/2016",1,0
"2430","8/27/2016",-2,-1
"2431","8/27/2016",3,1
"2433","8/27/2016",-1,0
"2437","8/20/2016",4,-9
"2438","8/20/2016",6,-3
"2439","8/20/2016",4,3
"2440","8/20/2016",-3,0
"2441","8/20/2016",3,1
"2442","8/20/2016",2,0
"2443","8/20/2016",0,2
"2445","8/20/2016",1,0
"2446","8/20/2016",-2,-1
"2447","8/20/2016",1,2
"2449","8/6/2016",1,-2
"2450","8/6/2016",-1,1
"2451","8/6/2016",0,3
"2452","8/6/2016",2,-1
"2454","8/6/2016",0,1
"2455","8/6/2016",-1,2
"2457","8/6/2016",1,0
"2458","8/6/2016",1,0
"2459","8/6/2016",4,-1
"2461","7/30/2016",-2,0
"2462","7/30/2016",0,-2
"2463","7/30/2016",-4,-1
"2464","7/30/2016",-1,1
"2465","7/30/2016",-1,0
"2466","7/30/2016",-1,-1
"2467","7/30/2016",-4,1
"2468","7/30/2016",1,0
"2469","7/30/2016",0,1
"2471","7/23/2016",-1,0
"2472","7/23/2016",5,0
"2473","7/23/2016",2,0
"2475","7/23/2016",2,0
"2476","7/23/2016",1,-2
"2477","7/23/2016",-1,1
"2482","7/13/2016",2,-1
"2483","7/13/2016",3,4
"2484","7/13/2016",2,-1
"2485","7/13/2016",1,-1
"2486","7/13/2016",-3,-1
"2488","7/13/2016",-1,0
"2489","7/13/2016",3,0
"2491","7/13/2016",0,1
"2492","7/13/2016",0,2
"2494","7/9/2016",3,0
"2495","7/9/2016",-10,-1
"2496","7/9/2016",-2,-2
"2497","7/9/2016",2,-1
"2499","7/9/2016",-4,2
"2500","7/9/2016",4,0
"2501","7/9/2016",1,1
"2502","7/9/2016",-1,7
"2503","7/9/2016",-3,1
"2504","7/9/2016",0,6
"2505","7/8/2016",2,0
"2508","7/8/2016",-5,0
"2509","7/8/2016",1,-5
"2511","7/8/2016",1,0
"2512","7/8/2016",-1,-2
"2514","7/8/2016",0,1
"2515","7/8/2016",-1,-2
"2516","7/8/2016",1,0
"2517","7/7/2016",-4,-2
"2518","7/7/2016",-1,0
"2519","7/7/2016",3,0
"2520","7/7/2016",1,0
"2521","7/7/2016",-4,-2
"2522","7/7/2016",3,0
"2523","7/7/2016",1,0
"2524","7/7/2016",1,-1
"2525","7/7/2016",1,1
"2526","7/7/2016",0,2
"2528","7/7/2016",-1,1
"2529","6/18/2016",2,-1
"2530","6/18/2016",1,5
"2531","6/18/2016",-1,0
"2532","6/18/2016",0,2
"2534","6/18/2016",2,-1
"2535","6/18/2016",1,1
"2536","6/18/2016",-1,-2
"2537","6/18/2016",-1,0
"2538","6/18/2016",-1,0
"2540","6/18/2016",1,1
"2542","6/4/2016",7,-3
"2543","6/4/2016",1,-6
"2544","6/4/2016",3,0
"2545","6/4/2016",1,0
"2546","6/4/2016",3,2
"2547","6/4/2016",0,-3
"2548","6/4/2016",0,1
"2549","6/4/2016",0,1
"2550","6/4/2016",-1,-5
"2551","6/4/2016",-1,1
"2552","6/4/2016",-1,0
"2553","6/4/2016",1,0
"2554","5/29/2016",-1,0
"2555","5/29/2016",4,-3
"2556","5/29/2016",2,2
"2557","5/29/2016",-1,1
"2558","5/29/2016",1,-1
"2561","5/29/2016",3,1
"2563","5/29/2016",2,0
"2564","5/29/2016",-1,2
"2566","5/14/2016",1,-2
"2567","5/14/2016",-11,1
"2568","5/14/2016",-1,0
"2569","5/14/2016",5,0
"2570","5/14/2016",1,-2
"2571","5/14/2016",-8,5
"2572","5/14/2016",-2,-3
"2573","5/14/2016",2,0
"2574","5/14/2016",2,1
"2576","5/14/2016",-1,1
"2577","5/8/2016",-6,-2
"2578","5/8/2016",1,4
"2579","5/8/2016",-3,4
"2580","5/8/2016",1,0
"2581","5/8/2016",2,2
"2583","5/8/2016",2,-2
"2584","5/8/2016",-1,2
"2585","5/8/2016",-1,-1
"2586","5/8/2016",0,1
"2587","5/8/2016",2,-1
"2588","5/8/2016",1,0
"2589","5/8/2016",-1,1
"2590","4/23/2016",0,4
"2591","4/23/2016",1,3
"2592","4/23/2016",3,-2
"2593","4/23/2016",2,-1
"2594","4/23/2016",-2,0
"2596","4/23/2016",-1,1
"2597","4/23/2016",0,1
"2598","4/23/2016",0,1
"2601","4/23/2016",-1,0
"2602","4/16/2016",-3,3
"2603","4/16/2016",0,2
"2604","4/16/2016",1,1
"2605","4/16/2016",4,0
"2606","4/16/2016",0,1
"2607","4/16/2016",-1,2
"2608","4/16/2016",2,-2
"2610","4/16/2016",4,-3
"2611","4/16/2016",-1,1
"2612","4/16/2016",-2,0
"2613","4/10/2016",5,-2
"2614","4/10/2016",-2,-4
"2615","4/10/2016",1,0
"2616","4/10/2016",1,0
"2617","4/10/2016",-1,-1
"2618","4/10/2016",0,1
"2619","4/10/2016",1,1
"2620","4/10/2016",1,-1
"2621","4/10/2016",3,0
"2623","4/10/2016",1,1
"2626","3/19/2016",0,-8
"2627","3/19/2016",1,1
"2628","3/19/2016",0,1
"2630","3/19/2016",-3,0
"2631","3/19/2016",0,1
"2632","3/19/2016",2,0
"2633","3/19/2016",2,0
"2634","3/19/2016",1,0
"2635","3/19/2016",1,0
"2636","3/19/2016",5,0
"2637","3/19/2016",1,0
"2638","3/5/2016",-4,8
"2639","3/5/2016",-1,0
"2640","3/5/2016",0,1
"2641","3/5/2016",-1,-2
"2642","3/5/2016",3,1
"2643","3/5/2016",-1,0
"2644","3/5/2016",-2,-4
"2645","3/5/2016",2,0
"2646","3/5/2016",1,-2
"2647","3/5/2016",3,-6
"2650","2/27/2016",-2,-3
"2651","2/27/2016",-1,-3
"2652","2/27/2016",2,-1
"2653","2/27/2016",-2,1
"2654","2/27/2016",0,1
"2655","2/27/2016",0,-1
"2656","2/27/2016",1,0
"2658","2/27/2016",0,-2
"2659","2/27/2016",1,0
"2660","2/27/2016",2,0
"2663","2/21/2016",4,3
"2664","2/21/2016",1,0
"2665","2/21/2016",1,0
"2666","2/21/2016",1,1
"2667","2/21/2016",-1,0
"2668","2/21/2016",1,2
"2669","2/21/2016",-1,1
"2670","2/21/2016",-1,-1
"2673","2/21/2016",0,-1
"2675","2/21/2016",-1,0
"2676","2/6/2016",-1,0
"2677","2/6/2016",6,0
"2678","2/6/2016",3,1
"2679","2/6/2016",3,1
"2680","2/6/2016",1,0
"2681","2/6/2016",4,2
"2682","2/6/2016",0,1
"2683","2/6/2016",4,0
"2684","2/6/2016",1,-2
"2687","2/6/2016",1,0
"2688","1/30/2016",6,-1
"2689","1/30/2016",-1,0
"2690","1/30/2016",-1,0
"2691","1/30/2016",0,-1
"2692","1/30/2016",-5,-1
"2693","1/30/2016",1,-1
"2694","1/30/2016",0,1
"2695","1/30/2016",-2,1
"2696","1/30/2016",-1,0
"2697","1/30/2016",0,2
"2698","1/30/2016",-1,0
"2699","1/30/2016",0,1
"2700","1/17/2016",-4,-1
"2701","1/17/2016",-2,-2
"2702","1/17/2016",-2,1
"2703","1/17/2016",-3,2
"2704","1/17/2016",1,-3
"2705","1/17/2016",-2,4
"2706","1/17/2016",0,1
"2707","1/17/2016",-1,0
"2708","1/17/2016",-2,0
"2709","1/17/2016",0,1
"2710","1/17/2016",0,1
"2711","1/17/2016",1,0
"2713","1/2/2016",1,0
"2714","1/2/2016",-5,-2
"2715","1/2/2016",1,0
"2716","1/2/2016",-1,-2
"2717","1/2/2016",2,0
"2718","1/2/2016",2,1
"2719","1/2/2016",-3,-2
"2722","1/2/2016",3,2
"2725","12/19/2015",-2,-2
"2726","12/19/2015",-6,0
"2727","12/19/2015",-1,8
"2729","12/19/2015",-2,6
"2730","12/19/2015",2,1
"2732","12/19/2015",-1,0
"2733","12/19/2015",-1,1
"2734","12/19/2015",-1,1
"2737","12/12/2015",3,0
"2738","12/12/2015",-3,1
"2739","12/12/2015",4,-3
"2740","12/12/2015",1,3
"2741","12/12/2015",-1,2
"2742","12/12/2015",0,6
"2744","12/12/2015",-1,1
"2745","12/12/2015",0,1
"2746","12/12/2015",-1,-1
"2747","12/12/2015",-3,2
"2748","12/12/2015",0,2
"2749","12/11/2015",-2,2
"2751","12/11/2015",-2,3
"2752","12/11/2015",-2,-6
"2753","12/11/2015",0,1
"2755","12/11/2015",7,4
"2756","12/11/2015",-3,-1
"2759","12/10/2015",-1,0
"2760","12/10/2015",-2,-3
"2761","12/10/2015",1,0
"2762","12/10/2015",1,0
"2763","12/10/2015",0,1
"2764","12/10/2015",-2,2
"2765","12/10/2015",0,1
"2766","12/10/2015",1,0
"2768","12/10/2015",1,0
"2770","11/28/2015",-1,1
"2771","11/28/2015",3,1
"2772","11/28/2015",1,0
"2773","11/28/2015",-2,0
"2774","11/28/2015",1,0
"2775","11/28/2015",1,0
"2776","11/28/2015",1,0
"2778","11/28/2015",1,0
"2779","11/28/2015",-1,0
"2781","11/21/2015",2,-1
"2782","11/21/2015",-3,2
"2783","11/21/2015",0,-1
"2786","11/21/2015",-1,0
"2787","11/21/2015",1,1
"2788","11/21/2015",0,-1
"2789","11/21/2015",-1,-1
"2790","11/21/2015",1,-1
"2794","11/14/2015",-3,-3
"2795","11/14/2015",2,0
"2796","11/14/2015",1,0
"2797","11/14/2015",-1,0
"2798","11/14/2015",-3,-4
"2799","11/14/2015",0,1
"2800","11/14/2015",2,1
"2801","11/14/2015",0,-3
"2803","11/14/2015",0,1
"2805","11/14/2015",0,1
"2807","11/7/2015",8,2
"2808","11/7/2015",0,3
"2809","11/7/2015",1,0
"2810","11/7/2015",0,-1
"2811","11/7/2015",1,-2
"2812","11/7/2015",-1,0
"2813","11/7/2015",2,-4
"2814","11/7/2015",1,0
"2816","11/7/2015",-1,1
"2817","11/7/2015",1,0
"2820","10/24/2015",1,-1
"2821","10/24/2015",1,-2
"2822","10/24/2015",0,-1
"2823","10/24/2015",2,0
"2824","10/24/2015",0,1
"2825","10/24/2015",-1,0
"2826","10/24/2015",1,-1
"2827","10/24/2015",1,0
"2829","10/3/2015",-3,0
"2830","10/3/2015",-3,1
"2831","10/3/2015",-6,0
"2832","10/3/2015",2,1
"2833","10/3/2015",1,0
"2834","10/3/2015",-2,0
